tanglish,tamil
veethla yellaarrum epdi eerukaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
pus staant yenkaa irugu,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
frriendoo cal baanraan,பிரெண்டு கால் பண்றான்.
raeezhway sdhaadhion eeppo vaarum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
raailwaay sdadioon epoo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
nanba eptee irugaa,நண்பா எப்படி இருக்க?
sozhren nala ketooko,சொல்றேன் நல்லா கேட்டுக்கோ.
oorravinarrgal wandhaanga,உறவினர்கள் வந்தாங்க.
naambigaai dhaaaan elaam,நம்பிக்கை தான் எல்லாம்.
saree yabbram parkalam,சரி அப்புறம் பார்க்கலாம்.
sari yaapprraam paarkazham,சரி அப்புறம் பார்க்கலாம்.
inniku welai irookoo,இன்னைக்கு வேலை இருக்கு.
ama yaadhu tan,ஆமா அது தான்.
weetlaa yellaarrum ebdee iruganga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
veeeetzha yeelarum eebdi iruganga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
cozhzheegee eepo moodiyoom,கல்லூரி எப்போ முடியும்?
thaambi badeekeereeya,தம்பி படிக்கிறியா?
innigoo nalla nazh,இன்னைக்கு நல்ல நாள்.
inniku naalaa nal,இன்னைக்கு நல்ல நாள்.
yaama adhoo taaaan,ஆமா அது தான்.
raizhway sdadion epoo vaarum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
raizhway staation eepo varrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
ooravinarkal wandhanga,உறவினர்கள் வந்தாங்க.
commend panunga maakkaale,கமெண்ட் பண்ணுங்க மக்களே.
coommenth paanunkaa maaggaale,கமெண்ட் பண்ணுங்க மக்களே.
raizhway sdhadhioon yeppo warum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
raaizhwaay sdadion yepo vaarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
veetzha yellaroom ebdee irukaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
trendink witeoo aatu,டிரெண்டிங் வீடியோ அது.
vedhla ezhzharoom ebdee irrukanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
poos staant yenkaa irugu,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
weetlaa yellarroom yeepti irukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
nethu eenga bona,நேத்து எங்க போன?
pus stant engaa iroogoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
pus sdaand yeenka irugu,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
veeeetzha yellaarrum epti iruganga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
raailwaay sdhaadhion eeppo vaarum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
projeecth reeaty panra,புராஜெக்ட் ரெடி பண்றா.
veethla yellaroom epdi irukaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
vibe naazhzhaa eerruku,வைப் நல்லா இருக்கு.
trendeenk veeteo aatu,டிரெண்டிங் வீடியோ அது.
veethlaa yellarrum yepdee eerukaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
projeecd reaaty banra,புராஜெக்ட் ரெடி பண்றா.
naanpaa epdi irooka,நண்பா எப்படி இருக்க?
veethla yellarroom yeepti irrukanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
commendh panunka maakkaale,கமெண்ட் பண்ணுங்க மக்களே.
commeendh paanunkaa makkalee,கமெண்ட் பண்ணுங்க மக்களே.
yanpe vaazhi,அன்பே வழி.
saari yabbram paaaarkaazhaam,சரி அப்புறம் பார்க்கலாம்.
nambikai taan yellaam,நம்பிக்கை தான் எல்லாம்.
veethla ellarrum yepdi irukaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
veethla yellarrum yepdi iruganga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
raeezhway sdhaadhion eeppo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
boos sdhand yenka iroogoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
railway staation ebbo waarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
veethlaa yellaarrum yeepti iruganga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
vethla yellarrum yeptee irrukanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
vedhla yeelarum yepdi iruganga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
veethla yellaarrum epdi eerrukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
innikoo sema wipe,இன்னைக்கு செம வைப்.
sdadoos paaaartiyaa,ஸ்டேட்டஸ் பார்த்தியா?
threending viteoo aadhu,டிரெண்டிங் வீடியோ அது.
projeecth ready baanraa,புராஜெக்ட் ரெடி பண்றா.
naampikaai tan yelaam,நம்பிக்கை தான் எல்லாம்.
kaadaaiyilaa vaangu,கடையில வாங்கு.
ooyirr naallaa vazhum,உயிர் நல்லா வாழும்.
caapdion nazhzha eerruku,கேப்ஷன் நல்லா இருக்கு.
class yeebbo aarampam,வகுப்பு எப்போ ஆரம்பம்?
veedu veezhai mootinjatoo,வீட்டு வேலை முடிஞ்சது.
veetzha yelaarum yepdee irrukanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
rraeelway sdadeeon eppo waarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
weetlaa yelaarum eebdi irukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
captioon naazhzhaa eerugu,கேப்ஷன் நல்லா இருக்கு.
raeelway sdadioon ebbo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
sarri aabbraam parkalam,சரி அப்புறம் பார்க்கலாம்.
caapthion naalaa iroogoo,கேப்ஷன் நல்லா இருக்கு.
soozhren nazhzha keduko,சொல்றேன் நல்லா கேட்டுக்கோ.
yapa yeeppo waarraaaangaa,அப்பா எப்போ வர்றாங்க?
poos sthand yeenka iruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
raeelway sdadion yeppo vaarum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
caapdion naazhzhaa irugu,கேப்ஷன் நல்லா இருக்கு.
thhannee wenoom,தண்ணி வேணும்.
raaizhwaay stateeon ebbo vaarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
caapthion nazhzha irrookoo,கேப்ஷன் நல்லா இருக்கு.
colege yepoo muteeyum,கல்லூரி எப்போ முடியும்?
rraailwaay staation yeepo waarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
raeezhway sdadioon epoo vaarum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
thhangachi yengaa pona,தங்கச்சி எங்க போன?
innikoo seema veebe,இன்னைக்கு செம வைப்.
boos sthaand enkaa irruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
raizhway sdadeeon epoo varrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
soolren naalaa kethukoo,சொல்றேன் நல்லா கேட்டுக்கோ.
raizhway sdhaadhion eeppo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
bus sdhand yeenga irookoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
unaaku puriyuta,உனக்கு புரியுதா?
raeezhway sdhaadhion yepo varrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
nethhoo yengaa boona,நேத்து எங்க போன?
vedhla yellarroom yepdee irugaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
prrojeect reeaty baanraa,புராஜெக்ட் ரெடி பண்றா.
raaizhwaay staation ebbo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
raeezhway sdhadhioon eppo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
bus sthand yenkaa eerruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
ooravinargazh wandhaanga,உறவினர்கள் வந்தாங்க.
